nctId,status,studyType,primaryPurpose
NCT04266301,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT04251416,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05738382,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06211062,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04516057,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06230848,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05850689,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04835883,RECRUITING,INTERVENTIONAL,TREATMENT
NCT02243605,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06235281,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06022107,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05101551,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04328740,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT03887273,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05955430,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06130241,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05427370,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05854251,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06263582,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06344052,RECRUITING,INTERVENTIONAL,TREATMENT
NCT02981628,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06229288,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06359249,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT01517451,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06136195,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05862285,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04159012,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT03942783,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05144854,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06150573,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06376136,RECRUITING,INTERVENTIONAL,TREATMENT
NCT03965650,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05882526,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05552300,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05133076,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05364983,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT02415413,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05525481,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04682158,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04466891,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06439277,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT01617161,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05070455,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05833126,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05918029,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05948241,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05133336,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05623410,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT02323867,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06183970,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT04640779,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05148286,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05113641,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06430502,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05975034,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05999240,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT04300647,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05763706,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05164341,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06244810,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05002374,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05164666,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05981001,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05586646,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05067283,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06046859,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06169046,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05494723,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05319574,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06463015,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT04984304,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04869384,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06390852,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05946096,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT04978597,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05429424,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05037500,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06411639,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06062355,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06381050,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06006091,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05372029,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04056013,RECRUITING,INTERVENTIONAL,TREATMENT
NCT02296918,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06173115,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06178146,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05898542,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05855070,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT04122001,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05345509,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06229197,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05592782,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT04937803,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT03271372,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06478238,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05782270,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04382677,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT03839446,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05544513,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05369299,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06372743,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04932577,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05710237,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06246656,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT04620239,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05885438,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06272097,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05744232,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06240520,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT03585114,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT04026893,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05621980,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06141798,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06186583,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04976634,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06066346,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06050161,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06127368,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04931381,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05734924,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT03911505,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05642455,RECRUITING,INTERVENTIONAL,TREATMENT
NCT02392572,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05318417,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05060601,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06285396,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05489016,RECRUITING,INTERVENTIONAL,TREATMENT
NCT02051088,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT03476681,RECRUITING,INTERVENTIONAL,TREATMENT
NCT02817958,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05629039,RECRUITING,INTERVENTIONAL,TREATMENT
NCT02763319,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05961891,RECRUITING,INTERVENTIONAL,TREATMENT
NCT02498613,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05367856,RECRUITING,INTERVENTIONAL,TREATMENT
NCT03879512,RECRUITING,INTERVENTIONAL,TREATMENT
NCT03172416,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05604287,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06427395,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05121298,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05370976,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04577014,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06084286,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT03639051,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT03601078,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06369467,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05263154,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06048757,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT00006436,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05782907,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04778501,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05731752,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06355414,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04295863,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05139875,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05384808,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04680065,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04121455,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06097468,RECRUITING,INTERVENTIONAL,TREATMENT
NCT02646384,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05464836,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05613179,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06339216,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05511220,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05845528,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06432686,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05117489,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05070156,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05162911,RECRUITING,INTERVENTIONAL,TREATMENT
NCT03643276,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05667675,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04924244,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05250648,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04905056,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05589415,RECRUITING,INTERVENTIONAL,TREATMENT
NCT03731234,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05508360,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06309849,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05611684,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05822700,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT04127227,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06150170,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05576493,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT04903795,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06022536,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06075238,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT04904575,RECRUITING,INTERVENTIONAL,TREATMENT
NCT03621631,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06151236,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05203445,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05131347,RECRUITING,INTERVENTIONAL,TREATMENT
NCT01207492,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT03994783,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05639517,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05089370,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04267926,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05519371,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05558358,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04009967,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT04502043,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05921175,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT03566043,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06304753,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06295432,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05444049,RECRUITING,INTERVENTIONAL,TREATMENT
NCT03018041,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT02473536,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05425745,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05498428,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06193876,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06334848,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT04309981,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06033547,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05501418,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05940220,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05925556,RECRUITING,INTERVENTIONAL,TREATMENT
NCT02675829,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04144972,RECRUITING,INTERVENTIONAL,TREATMENT
NCT04540692,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05505526,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06348927,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05468242,RECRUITING,INTERVENTIONAL,TREATMENT
NCT06299163,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05364125,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05503225,RECRUITING,INTERVENTIONAL,TREATMENT
NCT05302167,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05498285,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT06435260,NOT_YET_RECRUITING,INTERVENTIONAL,TREATMENT
NCT05523323,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,TREATMENT
