nctId,description,durationMonths
NCT06479902,"This study evaluated the effects of core stabilization exercises and diaphragmatic strengthening on thoracic kyphosis angle, diaphragmatic excursion, chest expansion, lung functioning (FEV1/FVC ratio), and quality of life in individuals with mild intermittent or mild persistent asthma. Thirty-seven participants from Fauji Foundation Hospital Rawalpindi underwent assessments before and after an 18-session treatment regimen over three weeks. The measures included diaphragmatic excursion, thoracic kyphotic angle, chest expansion, spirometry, and asthma quality of life questionnaire. Statistical analysis was performed using SPSS version 21",9.266666666666667
NCT06470789,"To observe the effect of shoulder low load blood flow restriction training on pain, function, strength and joint motion of the subjects with shoulder joint dysfunction.",1.5666666666666669
NCT06473311,"The current study is pre-post experimental study which was carried out from January 2024 to June 2024. A stratified and convenience sampling technique was used to select the study participants taking into consideration the inclusion criteria. Forty children with lower limb thermal burn were selected from Ahlah Misr Burn Hospital to participate in this study. They were selected according to the following inclusion criteria: a) Both sexes were included, b) Children with unilateral front thigh thermal burn of deep partial thickness of dermis (second degree) burns, c) Their ages ranged from 6 to 12 years, d) They can assume standing position. A child who had one or more of the following criteria was excluded from the study: a) 1st, 3rd and 4th degrees of burn, b) Other types of burn rather than thermal, c) Neurological or neuromuscular disorders, d) Dermatological disorders, e) Visual or hearing disorder, f) Child with contractures or lower limbs on fixed deformities. Subjects who met the previous mentioned criteria were randomly assigned into two study groups of equal numbers Study I \& study II using sealed envelope. Study group I were treated by a conventional physical therapy program directed towards improving the condition of the patient function in addition to whole body vibration therapy. Study group II were treated by a Wii-fit therapy program in a form of virtual reality treatment program in addition to the same conventional physical therapy program given to patients in the study group I.",1.2666666666666666
NCT06478914,"Burned patients experience various problems, including skin damage, vascular damage, and metabolic stress. These injuries can lead to peripheral neuropathies, which can affect nerve function and cause weakness or lack of sensation. Lymphatic damage can delay wound healing, causing contractures that affect the patient's physical function. Burn-Associated polyneuropathy (BAPN) is common after thermal injury, affecting nerve function. Electrophysiological assessments of muscle and nerves are essential in neurology, physical therapy, and related clinical disciplines. Neuromuscular electrical stimulation (NMES) is used to increase force output, strengthen muscles, and control pain. Low-intensity laser therapy (LILT) is used to treat chronic inflammatory and fibrotic conditions, improving absorption of fluid, secretion of macrophage growth factors, DNA synthesis, pain reduction, and electron respiratory chain reaction. However, the effect of LILT on scar formation and treatment of fibrosis or calcification secondary to hematomas or fat necrosis is not yet evaluated.

The need for this study developed from the lack of quantitative knowledge and information in the published studies about the application of both NMES and LIL to improve the neuropathic common peroneal nerve postburn.

The significance of this study arises from the rarity of information about the effectiveness of both NMES and LIL on the neuropathic common peroneal nerve post-burn, as well as the precise dosage and frequency of treatment required to promote improvement of the neuropathic common peroneal nerve post burn.",5.0
NCT06475586,"After being informed about the study and potential risiks all patients giving written informed consent will undergo a 1-week screening period to determine eliglibility for study entry at week 0, patients who meet the eligibility requirements will be randomized.

Study was conducted in two cohort Cohort 1. Patients with DMT2 and psoriasis, who are already on metformin therapy in the maximally tolerated dose and to whom semaglutide will be introduced into the therapy, in the maximum tolerated dose of semaglutide (0.25mg, 0.5mg per week or 1.0mg per week).

Cohort 2. Patients with DMT2 and psoriasis, who are already on metformin therapy in the maximally tolerated dose and other oral antidiabetics, except on therapy with GLP-1 RA and SGLT-2 inhibitors.",10.1
NCT06473662,The aim of the study was to compare the pharmacodynamic properties of different doses of regular human insulin administered in capsule form twice daily in a randomised twelve-week open-label trial.,20.933333333333334
NCT06475508,"ComplarateÂ® (INN: tocilizumab) is being developed as a biosimilar to the drug ActemraÂ®, a concentrate for the preparation of a solution for infusion.

Tocilizumab is a recombinant humanized monoclonal antibody to the human interleukin-6 (IL-6) receptor from the IgG1 subclass of immunoglobulins. Tocilizumab binds to and inhibits both soluble and membrane IL-6 receptors (sIL-6R and mIL-6R).

This III phase study is aimed to compare the effectiveness, safety and immunogenicity of ComplarateÂ® and ActemraÂ®. The study included patients aged 18-75 years at the time of signing the informed consent form with a documented diagnosis of RA, established according to the 2010 ACR/EULAR classification criteria, at least 6 months before screening, with moderate or high degree of disease activity and insufficient response to methotrexate monotherapy (preservation of moderate/high disease activity for at least 3 months) and/or poor tolerability of methotrexate (including the subcutaneous form of the drug) and/or insufficient response to or intolerance to other synthetic disease-modifying anti-inflammatory drugs (sDMARDs) with or without methotrexate inclusive, who meet all criteria for participation in the study. The study included a screening period and a treatment period. Allocation of patients to treatment groups was carried out by randomization in a ratio of 2:1 to the study drug (ComplarateÂ®) and comparator drug (ActemraÂ®). 465 patients (310 to the study drug group and 155 to the comparator drug group) were randomized.",10.866666666666667
NCT06478004,"The present study is a single-center randomized controlled clinical trial with 1:1 allocation ratio. This trial entailed directly restoring carious primary anterior teeth with resin composite either with the help of custom 3D printed templates obtained from digitally waxed-up patients' dental models (Group: A) or conventional strip crowns (Group: B). Restorations were assessed for clinical performance on three occasions; postoperatively (T0), after six months (T1), and after twelve months (T2).",13.7
NCT06482619,"Nutrition could play an important role in the rehabilitation from sport injuries. This afirmation is based on studies that analyze the impact of different dietary supplements along immobilization periods, stablishing that creatine, leucine and omega-3 fatty acid supplementation could ameliorate muscle loss, while creatine could potentiate the hypertrophy along the rehabilitation process. For this reason, the aim of this study are to analyze the effect of creatine ingestion in pain, histological properties of the tendon, body composition, strength and vertical jump performance in athletes with patellar tendinopathy that follow a physical rehabilitation program that include eccentric exercise combined with stretching and extracorporeal shock wave therapy.",32.36666666666667
NCT06470425,"The study ""Optimizing Mental Health Management with AI-Guided (GenAIS TM) Dietary Supplementation"" aimed to compare the effectiveness of AI-guided dietary supplement (DS) prescriptions versus standard physician-guided prescriptions in managing mental health disorders, specifically depression and anxiety. This 6-month randomized controlled trial included 160 participants diagnosed with major depressive disorder or generalized anxiety disorder. Participants were divided into two groups: one received DS based on physician judgment, and the other based on GenAIS AI system analysis. Primary outcomes focused on changes in mental health scores, while secondary outcomes included quality of life, metabolic markers, and DS adherence. Data collection involved genetic, metabolic, and clinical profiling, with ethical considerations ensuring participant confidentiality and informed consent.",3.6
NCT06473727,"Colour selection for composite restorations is a challenging process influenced by a number of environmental and operator factors. The polychromatic structure of natural teeth presents a challenge to shade selection. Consequently, the prevailing trend towards simplification of shade matching has led to the emergence of single-shade universal composites. Single-shade universal composites are able to replicate the natural colour of teeth by capturing the structural colour based on the size of the filler particles. Unlike other materials, it does not require the use of additional dyes or pigments. The blending, colour induction and colour assimilation effects of resin composites are collectively referred to as the chameleon effect. This phenomenon allows resin-based restorative materials to achieve a shade that closely resembles the colour of the surrounding tooth structure. The intelligent monochromatic composite makes shade selection easier for the clinician and provides a quick and easy way to create aesthetic restorations. Its distinctive character reduces confusion and potentially saves time in the clinic. However, the effectiveness of this material in matching different shades of natural teeth remains uncertain, and there is a paucity of clinical evidence on the efficacy of its colour-matching capabilities in dental restorations.",11.933333333333334
NCT06479551,"The objective of my study is to compare the effects of high and moderate intensity resistance training on strength, power and muscle soreness in young football players",5.3
NCT06470399,"The study ""AI-Guided (GenAIS TM) Versus Standard Physician-Guided Dietary Supplementation for Managing Metabolic Syndrome"" aimed to compare the effectiveness of AI-guided dietary supplement (DS) prescriptions versus standard physician-guided prescriptions in managing metabolic syndrome. This 6-month randomized controlled trial included 160 participants diagnosed with metabolic syndrome. Participants were divided into two groups: one received DS based on physician judgment, and the other based on GenAIS AI system analysis. Primary outcomes focused on changes in metabolic parameters, while secondary outcomes included individual components of metabolic syndrome, inflammation levels, body weight, and adherence to the DS regimen. Data collection involved genetic, metabolic, and clinical profiling, with ethical considerations ensuring participant confidentiality and informed consent.",15.766666666666667
NCT06482060,"The patients who applied to Marmara University Faculty of Dentistry Department of Prosthodontics with complaints of teeth clenching and grinding were clinically and radiologically examined. A questionarre is also applied to evaluate the sleep bruxism. 30 individuals diagnosed with sleep bruxism were included in this study. The individuals were informed about bruxism, its effects and the application of a stabilization splint and were divided into two groups randomly. Stabilization splint was applied to one group with digital and to other group with conventional impression and production method.

In the conventional treatment group, impressions were taken with alginate impression material, then the occlusal splint was fabricated with hard vinyl resin material in the dental laboratory. The splints were appllied o the upper jaw in accordance with the recomendations of Okeson. Canine guidence was provided in lateral movements. Autopolymerizing acrylic (ImÄ±cryl, Turkey) was used for the adjustment of the splint intraorally. The individuals were asked to come for monthly recalls according to the routine treatment procedure and the pain values measured by visual analog scale (VAS). The occlusal surfaces of the stabilization splints were scanned before the usage of splint and after the three and six months usage. The wear amounts were calculated by Geomagic Control Program for evaluation. Patient satisfaction was evaluated with the questionarre at the beginning and final stage of the treatment.

In the CAD/CAM treatment group, intraoral digital impressions were taken with an intraoral camera (3Shape Trios (3Shape Dental Systems, Copenhagen, Denmark)) and the occlusal splints were fabricated with methacrylate resin material by digital three dimensional production. The splints were delivered to the individuals. Minimal occlusal adjustment was performed to obtain canine guidence. The individuals were asked to come for monthly recalls according to the routine treatment procedure and the pain values measured by visual analog scale (VAS). The occlusal surfaces of the stabilization splints were scanned before the usage of splint and after the three and six months usage. The wear amounts were calculated by Geomagic Control Program for evaluation. Patient satisfaction was evaluated with the questionarre at the beginning and final stage of the treatment.",10.166666666666666
NCT06473376,"This prospective, randomized control study aimed to compare the Clinical Outcome of Hegab splint, Arthrocentesis, and Arthroscopy in treatment of TMJ closed lock. The study sample was derived from the population of patients who presented for evaluation and treatment of TMJ disorders. The patients were randomly assigned to one of the following three groups: Group I (Control): patients treated by Hegab splint. Group II: patients treated by arthrocentesis with injection of HA/PRP mix plus Hegab splint. Group III: arthroscopy with injection of HA/PRP mix plus Hegab splint. The primary outcome variable was the change in pain using a visual analog scale, and improvement of maximum voluntary mouth opening. The secondary outcome variable was the change in joint sound. The third category of variables (age and sex) was evaluated in relation to the outcomes.",43.1
NCT06470854,"Dural puncture during neuroaxial procedures is the most frequent major complication that causes the development of post-dural puncture headache (PDPH) in 16%-86% of cases. PDPH could be defined as severe positional headache that usually presents during the first 72-h following accidental dural puncture.

Dexmedetomidine (DXM) is a potent and highly selective Î±2-adrenergic agonist that was approved for ICU and procedural sedation in adults. Additionally, DXM has pleiotropic effects for its sympatholytic, amnestic, and analgesic properties. Regarding routes of administrations, DXM allows high flexibility and can be administered through intravenous (IV), intramuscular, buccal, intranasal and inhalational routes.

Nebulized DXM at 1 Âµg/kg is a favorable alternative to the intravenous route in short duration surgeries because it attenuates heart rate response to laryngoscopy. However, the effects of nebulized DXM on blood pressure are controversial.

it was assured that it has a role in reduction of the intraoperative anesthetic requirements and analgesic consumption.

The prophylactic and management strategies for PDPH are heterogeneous because of the absence of clear guidelines and protocols for the management of PDPH. However, the general plan for PDPH management consists of conservative treatment and if failed invasive procedures such as blood patch were applied.",3.7
NCT06479564,"Effects of free weight and machine training with and without aerobic training on strength, endurance and muscle mass of lower limb among body builders.",5.3
NCT06474494,"This is a four-arm, double-blind, randomized controlled clinical trial. Experimental group 1: 35 non-carious cervical lesions (NCCL) will receive composite resin restorations applying a double layer of Scotchbond Universal Plus adhesive applied as etch-and-rinse mode.

Experimental group 2: 35 non-carious cervical lesions (NCCL) will receive composite resin restorations applying a double layer of Scotchbond Universal Plus adhesive applied as selective enamel etching mode.

Control group 1: 35 non-carious cervical lesions (NCCL) will receive composite resin restorations applying one layer of Scotchbond Universal Plus adhesive applied as etch-and-rinse mode.

Control group 2: 35 non-carious cervical lesions (NCCL) will receive composite resin restorations applying one layer of Scotchbond Universal Plus adhesive applied as selective enamel etching mode.

LCNCs will be randomized to application mode and number of layers. All groups will be light-cured with a light-curing device (SmartLite Focus, Dentsply) with a light intensity of 900 mW/cmÂ² for 10 seconds. Operators will restore the cervical area by applying three increments of resin (Filtek Supreme XT, 3M). Each increment will light cure for 20 s at 900 mW/cm2 (SmartLite Focus, Dentsply). Restorations will be finished immediately with fine and extra fine diamond burs and polished with polishing spirals.",0.0
NCT06479733,"Soft tissue grafting around dental implants has been recommended to enhance functional, biological, and esthetic outcomes. As a thick peri-implant mucosa is of importance to prevent recession, color alterations, bone remodeling and promote ""creeping attachment"". Two major indications include the increase of the KM width and the increase of soft tissue volume using autogenous or alternative type grafts.

Several techniques have been proposed to augment the volume of the mucosa to achieve the so-called pink esthetics: connective tissue grafts, lyophilized allogenic soft tissue grafts, porcine collagen matrix, free gingival grafts, a combination of grafting and vestibuloplasty, strip gingival autografts, tissue engineered fibroblasts, allograft, collagen matrices, and the use of the buccal pedicle flap.

Among surgical techniques, the proposed modified buccal pedicle flap was demonstrated to perform well in terms of decreased morbidity, maintenance of blood supply, stabilization of the pedicle, superior haemostasis, and speed of treatment. However, a possible drawback may be related to the original thickness of the flap since a thin mucosa phenotype may be more prompt to perforation when in contact with a cross-linked collagen matrix.

The autologous subepithelial connective tissue graft (sCTG) is generally regarded as the gold standard for soft tissue augmentation around natural teeth and dental implants. However, harvesting an autologous soft tissue graft necessarily entails additional preoperative preparation, a second surgical site, longer operative duration, and increased morbidity, regardless of the surgical technique employed and the expertise of the operator.

Another alternative for autogenous grafting is the acellular dermal matrix (ADM) allograft that is derived from human skin. ADM, originally used for treating burn wounds , is an epithelium free, freeze-dried matrix containing types I and III collagen bundles where elastic fibers are its main components . ADM acts as a bioactive scaffold that integrates in host tissue and permits the migration of fibroblasts and epithelial and endothelial cells through vascular channels of the recipient sites . Since its initial use, ADM has been widely used in dental practice, in particular for soft tissue grafting of gingival recession or to change the quality of peri-implant/teeth mucosa.",11.633333333333333
NCT06482736,"The prevalence of headaches increases with age, with a prevalence of 82% during adolescence. Extracorporeal Shockwave Therapy could reduce the pain of myofascial pain syndrome by pain signal alteration, promoting angiogenesis and increasing perfusion in ischemic tissues induced by sensitization of nociceptors and muscle ischemia",7.166666666666667
NCT06471686,"Acamprosate for alcohol use disorder may benefit liver transplant (LT) recipients with alcohol-associated liver disease (ALD), yet data on feasibility and safety in LT recipients are lacking.

This was a single-center unblinded randomized controlled trial of adults (â‰¥18 years) with LT for ALD enrolled between 2021-2023 who were randomized 2:1 to the intervention of acamprosate (666mg dose three time daily) or standard of care (SOC) for 14 weeks. The primary outcome was safety \[prevalence of adverse events (AE)\]. Secondary outcomes included feasibility (weekly survey response rate \>60%), adherence (self reported acamprosate use\>60%), and efficacy (reduction in Penn Alcohol Craving Scale \[PACS\]) and relapse). Relapse was defined as blood phosphatidylethanolâ‰¥20ng/mL or reported alcohol use. All analyses were done in the intention to treat (ITT) population and per-protocol population (PPP) (excluding withdrawals/acamprosate non-adherent).",20.2
NCT06476990,"Food Rx + CHW is a 3-month community health worker led medically tailored grocery intervention for patients with self-reported food insecurity and a diagnosis of type 2 diabetes at one academic medical center in the Midwest United States. Prior to contact and recruitment, eligible patients were randomly assigned to receive 12 weekly food deliveries and support from a CHW (Food + CHW group) or food deliveries only (Food-only group).

All participants receive 12 weekly contactless deliveries of food. CHWs conduct three virtual study visits with participants to administer surveys and/or collect biomarker measurements at weeks 1, 12, and 24. No changes in the frequency of visits with the patient's provider are recommended. Virtual visit 1 involves the completion of study forms, assessment of household size for most meals, cultural preferences, food allergies, baseline cooking and eating habits, and assessment for knowledge and usage of local and/or federal food support programs. At week 12, participants use at home kits and devices (provided by the study) to measure and report their HbA1C, weight and blood pressure and complete post-intervention surveys on diet, knowledge and usage of food access programs and resources, and an anonymous feedback questionnaire on the strengths and opportunities for improvement in the program. At week 24, participants measured and reported their final HbA1C, weight and self-collected blood pressure result.

In addition to food, participants in the Food + CHW group also received 7 weekly virtual sessions with a CHW (four 90-minute ZOOM counseling sessions and three 30 to 60-minute check-in phone calls). CHW sessions included diabetes-appropriate cooking and nutrition education and personalized benefit enrollment and linkage to existing food access resources (for example Supplemental Nutrition Assistance Program, Double up Food Bucks, and Kansas Senior Farmers Market Vouchers).

Each weekly food box contained approximately $8 worth of shelf-stable food items purchased from a local food bank (beans, canned vegetables and no-sugar added fruit, shelf-stable dairy products, canned tuna, and whole grains) and $25 of fresh produce (5-7 items including leafy greens, peppers, potatoes, broccoli, carrots, zucchini, cauliflower, celery, cabbage, asparagus, apples, or strawberries). When seasonably available, fresh vegetables and fruit were sourced from local farmers via a local food hub. When local produce was not available, CHWs sourced produce from grocery stores.",11.8
